Games,Year,Sport,Discipline,Athlete,Team,Gender,Event,Medal,Gold,Silver,Bronze
Athens (1896),1896,Aquatics,Swimming,Alfred Hajos,Hungary,Men,100m freestyle men,Gold,1,0,0
Athens (1896),1896,Aquatics,Swimming,Otto Herschmann,Austria,Men,100m freestyle men,Silver,0,1,0
Athens (1896),1896,Aquatics,Swimming,Dimitrios Drivas,Greece,Men,100m freestyle for sailors men,Bronze,0,0,1
Athens (1896),1896,Aquatics,Swimming,Ioannis Malokinis,Greece,Men,100m freestyle for sailors men,Gold,1,0,0
Athens (1896),1896,Aquatics,Swimming,Spiridon Chasapis,Greece,Men,100m freestyle for sailors men,Silver,0,1,0
Athens (1896),1896,Aquatics,Swimming,Efstathios Chorophas,Greece,Men,1200m freestyle men,Bronze,0,0,1
Athens (1896),1896,Aquatics,Swimming,Alfred Hajos,Hungary,Men,1200m freestyle men,Gold,1,0,0
Athens (1896),1896,Aquatics,Swimming,Joannis Andreou,Greece,Men,1200m freestyle men,Silver,0,1,0
Athens (1896),1896,Aquatics,Swimming,Efstathios Chorophas,Greece,Men,400m freestyle men,Bronze,0,0,1
Athens (1896),1896,Aquatics,Swimming,Paul Neumann,Austria,Men,400m freestyle men,Gold,1,0,0
Athens (1896),1896,Aquatics,Swimming,Antonios Pepanos,Greece,Men,400m freestyle men,Silver,0,1,0
Athens (1896),1896,Athletics,Athletics,Francis Lane,United States,Men,100m men,Bronze,0,0,1
Athens (1896),1896,Athletics,Athletics,Alajos Szokolyi,Hungary,Men,100m men,Bronze,0,0,1
Athens (1896),1896,Athletics,Athletics,Thomas Burke,United States,Men,100m men,Gold,1,0,0
Athens (1896),1896,Athletics,Athletics,Fritz Hofmann,Germany,Men,100m men,Silver,0,1,0
Athens (1896),1896,Athletics,Athletics,Thomas Curtis,United States,Men,110m hurdles men,Gold,1,0,0
Athens (1896),1896,Athletics,Athletics,Grantley Goulding,United Kingdom,Men,110m hurdles men,Silver,0,1,0
Athens (1896),1896,Athletics,Athletics,Albin Lermusiaux,France,Men,1500m men,Bronze,0,0,1
Athens (1896),1896,Athletics,Athletics,Edwin Flack,Australia,Men,1500m men,Gold,1,0,0
Athens (1896),1896,Athletics,Athletics,Arthur Blake,United States,Men,1500m men,Silver,0,1,0
Athens (1896),1896,Athletics,Athletics,Charles Gmelin,United Kingdom,Men,400m men,Bronze,0,0,1
Athens (1896),1896,Athletics,Athletics,Thomas Burke,United States,Men,400m men,Gold,1,0,0
Athens (1896),1896,Athletics,Athletics,Herbert Jamison,United States,Men,400m men,Silver,0,1,0
Athens (1896),1896,Athletics,Athletics,Dimitrios Golemis,Greece,Men,800m men,Bronze,0,0,1
Athens (1896),1896,Athletics,Athletics,Edwin Flack,Australia,Men,800m men,Gold,1,0,0
