Question,Mean,Sdv
Timestamp,,
"I found the system easy to use.",4,0.89
"Journalists will be able to use it to analyse data.",3.45,1.04
"Readers will be able to critically examine the analyses.",3.73,0.79
"The resulting programs are easy to understand.",3.73,0.79
"The text editor for creating them was easy to use.",3.73,0.9
"Navigating to the right item in the auto-complete drop down was easy.",3.45,1.37
"If given a comprehensive video tutorial.",4,1.26
"If given a number of code samples.",3.36,1.12
"Without any further guidance.",2.45,1.13
"If you have any other comments about the system and your experience with it, please let us know (this is completely optional!)",,
