Timestamp,"I found the system easy to use.","Journalists will be able to use it to analyse data.","Readers will be able to critically examine the analyses.","The resulting programs are easy to understand.","The text editor for creating them was easy to use.","Navigating to the right item in the auto-complete drop down was easy.","If given a comprehensive video tutorial.","If given a number of code samples.","Without any further guidance.","If you have any other comments about the system and your experience with it, please let us know (this is completely optional!)"
"2020/03/16 8:00:38 am CET",2,3,2,3,2,4,2,3,3,"Some of the language in the notes might need to be adapted for a non-technical audience. I know this has been done a bit, but should be worked out a bit more clearly. Providing too much guidance might bias what people look at if they are unclear on their goals, so should be considered in any video instructions."
"2020/03/16 10:51:54 am CET",4,5,3,4,4,5,5,5,1,
"2020/03/16 11:06:55 am CET",2,2,2,2,2,3,2,2,4,
"2020/03/16 1:05:38 pm CET",1,2,3,2,2,1,3,1,5,
"2020/03/17 10:26:22 am CET",2,2,1,2,2,1,1,2,3,"Maybe a library of functions ( such as sort , filter etc) and their description available for those who might need it, or know but want a quick recall before taking action would be good."
"2020/03/17 11:05:07 am CET",2,3,3,2,2,1,1,3,3,
"2020/03/17 3:08:08 pm CET",1,1,2,3,1,2,1,4,5,
"2020/03/20 11:51:54 am CET",2,3,3,1,4,4,1,2,4,
"2020/03/20 12:54:32 pm CET",3,3,3,2,2,2,2,3,4,
"2020/03/27 12:10:35 pm CET",2,2,2,2,2,2,1,2,3,
"2020/03/27 12:52:21 pm CET",1,2,1,2,2,3,3,2,4,
